movie,sentence,score
아바타: 물의 길,영상은 좋았으나 예전 제임스 카메론 영화에서 봐왔던 훌륭한 플롯은 없음. 누릴거 다 누리고 사는 양반이 환경문제로 인간을 악마로 (실제 대사임) 매도시키면 위선자로 밖에 안 보임.,1
"그 겨울, 나는",현실의 무서움과 다잃고 늦더라도 시도하는 주인공이 참 많은 생각을 하게 한다 ,8
헌트,상상력을 그대로 스크린으로 옮기심.,7
영웅,역사를 알고봐도 너무 감동적감사한 마음이 가득 드는 영화펑펑 울며 봤습니다 ,10
아바타: 물의 길,개인적으로 1보다 훨씬재밌어요 3시간이지만 시간이 정말 빨리지나감 감동적이고 재밌음,10
탑,홍상수는 영화를 통해서 자신의 상황 하고 싶은 말을 대변하는걸 참 잘한다.와인보다는 그의 영화에선 당연히 소주가 어울린다. ,8
아바타: 물의 길,3시간에 겁먹지말고 아쉬워해라 높은 몰입감으로 영화에 빠져 교감하는 시가들이었다,10
폭풍 속으로,분노의질주를재밌게봤었던나로썬...이영화가너무나도의미있게 다가왔다최고!,10
아바타: 물의 길,그 냥 정 말 발 암 영 화 입 니 다,2
원탁의 천사,"이민우와 하하는 진짜 처음부터 끝까지 한숨만 나올 정도로 수준 낮은 연기를 펼치고, 지금 기준으로 보면 정신이 아득해 질 정도로 시대에 뒤떨어진 유머와 대사와 상황은 진심으로 한심하다.",2
불릿 트레인,재밋기만 하구만 영화볼줄 모르는 놈들 ㅋㅋ,10
오두막,"고통스런 삶의 치유를 위해 비현실적인 초대와 환상, 초월적인 존재, 물 위를 걷거나 내세를 볼 수있는 기적이 필요함을 2시간 동안 떠든다. 불완전한 인간들은 절대 할 수 없는 &amp;#39;용서&amp;#39;를 오만가지 회유와 환상으로 강요하는 완전체인 신적 존재의 무자비한 폭력성이 더 가슴에 와닿는다(뭐 성경 내용이 다 이런 식이긴 하지만) 만일 맥이 신적 존재의 제안을 받아들이지 못하고 절대 &amp;#39;용서&amp;#39;할 수 없음을 고백했다면 과연 신적 존재는 딸의 사체를 돌려주기라도 했을까? 징그러울 정도로 편향된 사고와 일방통행의 방식으로 끝끝내 나약한 인간들을 굴복시키고야마는 신적 존재는 과연 선일까? 악일까? 기독교 영화라지만 오히려 반기독교적인 사고를 확장시키는 빌미를 주는 웃긴 영화",4
아바타: 물의 길,짱구네가족 파이어! 로 정리되는 영화지만 영상미 넘침,6
"대한이, 민국씨","영화의 유머는 낡고 유치해서 단 한순간도 재밌지 않고, 두 캐릭터의 행동은 웃기에는 너무 민폐인 경우가 많아 기분이 착잡해진다. 거기다 배우들은 지지부진하고 지루한 연기를 펼친다.",4
아바타: 물의 길,울면서봤다 나만 울면서 봤는가3를위해 2편은 꼭있어야 하는영화였고감정씬이 주를있는영화여서 난더좋았다,10
영웅,"대한민국 첫 뮤지컬 영화, 이정도면 성공적이다",10
아바타: 물의 길,3시간이 빨리 지나갈 정도로 몰입하며 봤네요,10
불릿 트레인,"영화를 보는 내내 쿠엔틴 타란티노가 만든 밸런스 잡힌 인스턴트 음식을 추구했으나, 몸에 안좋은 인스턴트를 계속 몸에 집어넣고 있는 느낌. 분명한 건 인스턴트는? 맛은 있다는 점!",7
시에라 연애 대작전,진정한 자존감은 외모가 아닌데서 나온다는 교훈을 주기 위해 주인공에게 너무 많은 면죄부를 주어버린 영화. 설득도 안되고 공감도 안 가고..,1
영웅,"정말 감명 깊게 본 영화였고 정말 ost,배우들의 연기,스토리 어디 하나 부족한 것이 없었다고 생각합니다.모든 독립운동가분들께 감사드립니다여러분이 있기에 우리가 있습니다.",10
블러드 레드 스카이,고구마 많고 캐릭터 설정이 어설픔. 게다가 뭔 애가 의지로 상황을 다 이끔.,6
영웅,감동적인 하지만 가슴아픈 역사,10
아바타: 물의 길,자식이 너무 많아서 스트레스 받았음.. 2명정도였으면 몰입 더 잘됐을듯,8
아바타: 물의 길,진짜 개미친영화 와 이건 미친영화,10
아바타: 물의 길,스토리도 저는 좋았습니다CG는 말이 필요 없고요,10
아바타: 물의 길,두번 봤는데  또 보고 싶네요,10
기적,본 성적보다 수십배는 더 떴어야될 영화. ,10
영웅,아이들과 눈물 훔치며 봤습니다 극장내 훌쩍이는 분들도 많았네요 말로 표현하지 않아도 아이들과 공감하며 좋은 시간 보낸거 같네요,10
영웅,아이들과 눈물 훔치며 봤습니다 극장내 훌쩍이는 분들도 많았네요 말로 표현하지 않아도 아이들과 공감하며 좋은 시간 보낸거 같네요,10
아바타: 물의 길,초반 지루.. 후반 재밌. 영상미 잘 모르겠..기대 안 하면 괜춘.영화 무지 깁니다~,7
노엘 다이어리,잔잔하고 배경도예쁘고 그냥다좋네 ,10
에브리씽 에브리웨어 올 앳 원스,"뻔한 내용을 복잡, 난잡하게 뭐하나 더 붙여서 있어보이려 노력한 영화라는 느낌. 혼자보는게 불편하지 않고 다행이었음 ",7
아바타: 물의 길,아바타 사랑해요 초딩때와 변함없이 아바타2도 인생영화 등극,10
영웅,감동적인 ㅠㅠ 뮤지컬보고 영화 보니까 더 재밌어요,10
레모니 스니켓의 위험한 대결,내 인생영화... 개잼있음,10
올빼미,진짜 실록에 적혀져있는 내용을 바탕으로 만든 영화라 그런지 더 재밌고 미스테리했어요 연기도 진짜 개쩖 ㄷ,10
아바타: 물의 길,액션은 솔직히 1편보다 아쉽긴 했지만 스토리텔링이 되게 좋았고 퀄리티 영상미 그래픽이 수준이상이었다!심지어 3D로 보니 더 입체적이니 더할말이...,8
나이브스 아웃: 글래스 어니언,스토리 자체는 나쁘지 않으나 풀어내는 방식이 촌스러움,3
크리스마스 연대기,어린이만을 위한 영화이다. 가족 영화로써는 좋지만 어른이 홀로 보기엔 개연성 없이 허무맹랑하게 넘어가서 몰입감이 떨어진다.,6
아바타: 물의 길,와진짜 돈아까워서 안졸려구 노력했지만..눈감기는고비 열번넘음 .안존건 인간승리,2
졸업,자유에 수반되는 불안,10
13번째 전사,존 맥티어난 특유의 마초이즘과 마이클 클라이튼 특유의 현실적인 판타지가 만나 생기는 시너지가 상당함.,9
아바타: 물의 길,"오랜만에 스케일 큰 sf영화.. 너무 좋아요. 감동과 교훈.. 지루하지않고 시간가는줄도 몰랐네요. 크리스마스 마무리하기 좋았어요. 진짜 13년 존버하길 잘했네요ㅠㅠ 빨리 3탄 내놔요. 3시간 내내 잠수하고 있는 기분, 너무 아름다운 자연...!!! 영상미가 대박임 ㅠㅠ",10
아바타: 물의 길,영상 혁명 그자체,10
아바타: 물의 길,모든 게 마지막 40분을 위한 빌드업이었던 것 같네요 약간 루즈한 감이 있었지만 재밌었습니다 가족애를 위대하게 보여준 영화입니다근데 너무 길어서 허리가 약간 박살날 것 같아요,10
나 홀로 집에,크리스마스에 보는 대띵작 정말 재밌고 웃김 ㅋㅋ,10
올빼미,재미있는 영화,10
아바타: 물의 길,3시간 넘는 긴 시간이였지만 짧게만 느껴졌고 보는내내 경이롭다라는 말이  아깝지 안았으며 가족애를 느낄수 있어서 더한 감동이 있었고 다시 보고 또보고 싶을만큼 올해 최고의 영화인것 같아여^^ ,10
영웅,기대없이 가벼운 마음으로 보러갔는데 보는 내내 감동이있습니다. 내용 배우들의 연기  뭐하나 빠지는게 없습니다.,10
영웅,지루했어요...지루지루,4
나이브스 아웃: 글래스 어니언,돈으로 흥해도 과욕하면 돈으로 망한다.,7
영웅,안중근의사 정말 큰인물이였던거같습니다감히 상상도 못할정도의 큰 뜻을 품고 큰일을 해내신듯해요 작은유해라도 우리나라에 안착되길 바라봅니다  그토록 바라고바란 대한독립만세...   감사합니다,10
가재가 노래하는 곳,남들과 다른 환경에서 많이 다른 모습으로 성장하더라도 결국 인간다운 삶을 영위하게 되는 희망을 보았다.,6
영웅,누가 영웅인가? 진정한 동양평화를 이루려 하신 분. 자식이 총이 아닌 두손을 모아 기도하길 바라신 분. ,10
아바타: 물의 길,진짜 1편하고 2편을 보면서 느끼는건데 배경이 진짜 이뻐요!,10
록키 4,옛날추억이 이영화와 함께  남아있어볼때마다 어린시절로 돌아가는 느낌이들게 해주는 고마운 영화  최고!,10
나이브스 아웃: 글래스 어니언,시간낭비하지마시고 더 주무시거나 운동하시거나 요리하시거나 유튜브보시거나 공부하세요. 시간낭비임 이거 보는건,1
영웅,최고입니다 명품영화 잊고지낸 역사 고마워하며 감사해하며 살겠습니다,10
불릿 트레인,특유의 b급유머가 타이밍이 안맞거나 그렇게 신선하지는 않았던것같다 동양적 사상과 서양의 b급 무비를 섞었을때 나오는 시너를 기대했지만 상투적으로 흐른것같아 아쉽다 그래도 쉼없이 몰아부치니 그리 지루하진않다,7
올빼미,엄청난 영화인줄알았는데 그냥 그런데요.. ,6
영웅,뮤지컬 영화 재미있게 봤습니다연출도 괜찮았고요크게 나무랄 곳이 없는 영화입니다^^,9
록키 4,체급차이 개나주는 복싱경기영화삼류 쓰레기영화 ㅋ ㅋ,2
노킹 온 헤븐스 도어,감동은 있으나 대환장 파티 속 바보들의 일탈..,6
아바타: 물의 길,보는 내내 생각 난 주우재 역시 아바타 압도 당했다,10
영웅,처음부터 끝까지 감동 그 자체..  계속울었어요ㅠㅠ평점을  감히 매기기가 어렵네요. 감사합니다. ,10
영웅,너무너무 감동적인 영화ㅠㅠ여태 보는영화중에 최고입니다. 다시한번 대한민국라는 나라가 얼마나 귀한 나라인지 느낄수있는 순간였다. 아이들이 같이보면 교육상 가장좋은 영화것같다. 많이 울었습니다.ㅠㅠ안종근선생님 시신빨리 찾기를 기도합니다!!! 당신은 대한민국의 위인입니다!!!대한민국 국민이라면 모두가 봐야할 영화이라고 생각을 듭니다!~~,10
나이브스 아웃: 글래스 어니언,재밌음 결말은 생각보다 큰 사이다가 아니어서 아쉬웠을뿐..,10
아바타: 물의 길,시간이 너무 길어서 중간에 꿀잠잤다바다 속 cg는 인정메리크리스마스 ,6
영웅,뮤지컬을 좋아하는데 영화로 나와서 퀄리티도 좋고 몰입해서 봤습니다. 연기도 너무 좋았고 김고은배우님이 노래를 잘하시는것도 알게되었습니다. 뮤지컬인만큼 엄청 진지하진 않습니다. 저는 재밌게 슬프게 잘봤어요. ,10
영웅,감동적이고 너무 슬프네요.,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",일본은 정말 애절한 사랑엔 죽음을 꼭 넣늠너의 췌장 어쩌고도 죽지않았나? 죽는건 그렇다쳐도 개연성이 있어야지 엄마가 돌연사했다고 남주도 돌연사 ㅋㅋ여주 앞에서 한번쯤 쓰러지거나 아빠나 누나가 심장병은 괜찮아 ..? 하고 묻는 장면이라도 좀 넣지 남주가 개복치마냥 갑자기 죽어서 이입이 안됐음 ,2
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",너무 분위기가 이쁘고 행복했다 마지막 부분은 너무 슬펐음,10
영웅,중간중간 갑자기? 싶은 전개가 있었지만 감동적이었습니다 이런 영화들이 많이 흥했으면 좋겠어요,9
올빼미,심장 쫄깃쫄깃 너무너무 재밌어요. ,10
아바타: 물의 길,&amp;#34;우리는 모두 에너지를 빌려온 것 뿐이다&amp;#34;,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이 영화 슬프다고 해서 친구들이랑 보러갔는데 울면서 나왔습니다... 하 끝나고 나서도 친구들이랑 계속 울었어요,10
영웅,감동적 잘 봤어요’!!!,10
아바타: 물의 길,영상 짱~ 아쿠아리움보다 더 멋짐~ ,10
영웅,정성화 연기  진짜 대박  김고은역은 억지로  만든듯 ,10
아바타: 물의 길,세시간 금방간다.끝나고나니 엉덩이아프다,10
아바타: 물의 길,현실에서는 볼수없는 가상체험의 느낌,10
헤어질 결심,가까이 가기엔 왠지 어려웠던 거장의 친절한 손짓,9
올빼미,정말 세자 쓰러질때부터 손에땀나고 차가워지고 온몸에 계속 소름돋을정도로 너무 재밌었어요. 와.... 류준열. 유해진 연기력 미쳤네요 압도당했습니다. 대박이에요,10
영웅,대한민국을 지켜주셔서 감사합니다..모든 면에서 저에게 인생 영화입니다감사합니다 더 공부하겠습니다,10
히트맨,시간 잘가는 재밌는 영화였음.,10
영웅,"동지들과 함께 네 번째 손가락을 자르는 단지동맹으로 조국 독립의 결의를 다진 안중근은 조선 침략의 원흉인 이토 히로부미를 3년 내에 처단하지 못하면 자결하기로 피로 맹세한다. 그 약속을 지키기 위해 블라디보스토크를 찾은 안중근. 오랜 동지 우덕순, 명사수 조도선, 독립군 막내 유동하, 독립군을 보살피는 동지 마진주와 함께 거사를 준비한다. 한편 자신의 정체를 감춘 채 이토 히로부미에게 접근해 적진 한복판에서 목숨을 걸고 정보를 수집하던 독립군의 정보원 설희는 이토 히로부미가 곧 러시아와의 회담을 위해 하얼빈을 찾는다는 일급 기밀을 다급히 전한다.",10
영웅,노래가 다좋지만 일본노래가 웅장하고 먼가 깔금하네요 ,10
아바타: 물의 길,엄청난 영화 하지만 1을 뛰어넘진 못한,9
아바타: 물의 길,좋게 말하면 영화 역사상 돈주고 살 수 있는 최고 그 이상의 경험 스트리밍 시장이 대세인 현재 왜 극장이 존재해야 하는지에 대한 확실한 이유이자 보증 나쁘게 말하면 판도라 해양 다큐멘터리 종족 간의 전쟁에서 개인 간의 갈등으로 축소된 액션이 아쉽지만 수없이 뿌려진 흥미진진한 떡밥은 충분히 3편을 기대하게 만든다,8
아바타: 물의 길,진짜 너무 재밌다제발 대박 터져서 5편까지 나왔으면ㅜㅜ,10
영웅,"진짜 인생영화입니다,.  뜨거운 가슴과 웅장한 음악과 연기모든것이 완벽한..  또 보고싶은 영화네요보는내내 마음이 울컥울컥.,ㅠㅠ 그 시대에 나라를 위해 하신 희생을 다시금 감사드립니다..",10
영웅,영웅 박스오피스 1위 좋아요,10
스윙키즈,재밌긴 한데 죽이진 말지,10
아바타: 물의 길,"3시간 ? 진짜 순삭 지루함은 1도 못느낌 액션, 영상미, 연기력, 스토리 등등 하나도 놓치지 않은 영화임. 심지어 슬퍼 ㅠ 눈물나고 . 인간이 제일 잔인해 진짜 … 같이 숨참으먄서 봤다 ㅠ",10
데시벨,정상훈은 일단 너무 둥둥섬이네요 그리고 이종석이 왜 데시벨로 폭탄을 만들었는지 도무지 모르겠음,4
영웅,나는 이생에서 너와의 재회를 원치않으니 죽음을받아들이지마라 라는편지낭독당면에서 눈물이났습니다. 국권을 뺏긴 상황에서 모든 어머님들의마음일것이라 생각하며 반어법에서 마음에 아팠습니다 안중근 선생님 당신의 희생이 있었기에 우리가 민주주의 독립국가에서 삶을 현재 영위하고있습니다 감사합니다.,8
아바타: 물의 길,말이필요없다 영상 고퀄  ,10
영웅,오늘 영웅을 볼까 아바타를 볼까 고민하다 영웅을 선택했는데 우리 가족 모두 만족 정성화를 비롯한 모든 배우들 연기와 노래 짱인듯 ㆍ오늘 하루 애국하고 왔다,10
우리는 형제입니다,다들 안녕하셔요 반가워요 ,6
아바타: 물의 길,정신차리고 보세요잠들기 쉽상입니다.,8
아바타: 물의 길,3시간이라며뭐고 벌써 끝났누,10
영웅,우리가 잊어서는 안 될 역사,10
아바타: 물의 길,누가 이 영화를 감히 평가할 수 있을까요?,10
토스카나,좋은영화입니다!!!,10
아바타: 물의 길,최악이었습니다스토리가 처참했어요,1
영웅,조마리아 여사님이 옥중의 아들 안중근 선생에게 보낸 편지를 통해 조마리아 여사님이 민족의 영웅을 훌륭히 길러내셨음을 알 수 있었다. 부모의 역할을 생각하게 해 주는 영화. 역사 교육을 위해 부모가 자녀에게 보여주어야 할 영화. 조국 독립을 위해 목숨을 바친 모든 분들께 감사드립니다.,10
폴라 익스프레스,어릴때 봤던 추억의 영화 어른이 되어 다시봐도 영상미 전개 스토리 어느하니 빠지지않는 명작 하지만 불쾌한골짜기 하지만! 나는 너무 재밌었음 핫초코마시면서 봐야함!!!!,10
신비아파트 극장판 차원도깨비와 7개의 세계,코비 돌려내 어나더 자식아진짜너무슬프다 키비는 괜찮을까 코비 그리워하는 게 너무슬프다진짜로 어나더는 인성왜그러지...짜증이난다 두리랑 하리도 친하게 지냈으면 좋겟다 어나더가 코비대신 2번 죽았으면 좋겟다 진짜 어나더좀 없애주세요,10
레전드,"톰하디 쇼츠때문에 이 영화 보게됨.재미없다해서, 그냥 톰하디나 보자는 마음으로 아무 기대 없이 봤는데,진짜 재밌네요.지루하다는데, 시간순삭이었음.평점이 낮은게 노이해.",10
특송,연기 액션 이 재일재미있다,8
영웅,"훌륭한 연기, 훌륭한 노래, 등 완벽한 감동에 윤재균의 시그니처를 넣은 영화. 뮤지컬의 팬으로써 볼만함",8
나 홀로 집에,"아...그 옛날 1990년 당시의 코믹 가족극....벌써 33년전이다. 이 영화가 얼마나 많이 인구에 회자가 되었는가. FULL로 다 보기는 사실 처음이다. 영화가 따끈했고 가족의 의미를 다시금 돌아보게 했다. 어린 케빈은 연기를 잘 해냈다. 그리고 각본도 괜찮았다. 도둑들을 상대로 한 기발한 아이디어의 소품 싸움이 이 영화를 즐겁게 보게 만든다. 마치 어린 맥가이버를 본 듯한 느낌. 이 영화는 그때 정말 화제가 만발했었던 필름이기도 하다. 33년 후에 봐도 질리는 느낌이 없다. 이런 느낌은 스타워즈4,5를 봤을 때의 느낌하고 동일하다. 스타워즈4,5는 두고두고 봐도 질리는 영화가 아니기 때문이다. 크리스 콜럼버스 감독은 코믹한 아동극 가족극을 잘 연출한다. 제작 기획자가 폴리스 아카데미 시리즈의 존 휴즈 아닌가. 이후 주연 맥컬리 컬킨은 성장기에서 아주 심한 혹독한 굴곡 장애를 겪었다. 이는 E.T.(1982)의 드류 베리모어와 같은 유형이다. 맥컬리 컬킨은 초심을 잃지 않았다면 성장기가 좀 낫지 않았을까.",8
아바타: 물의 길,신세계다. 현재 기술로 구현가능한 최고의 영화. 남녀노소 모두에게 추천합니다,10
아바타: 물의 길,너무 예쁘고 신비한 바다여행을 하는 것 같습니다. 꼭 보세요. 진짜 3시간이 30분 같아요.,10
